Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jørgen Strand Larsen,9,no NOR,FW,24-235,67,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,33.3
Hwang Hee-chan,11,kr KOR,FW,28-246,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jean-Ricner Bellegarde,27,fr FRA,LM,26-093,51,0,0,0,0,1,0,2,0,1,0,0,0,1,1,2,33.3
Carlos Forbs,26,pt POR,RM,20-193,39,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,
João Gomes,8,br BRA,CM,23-229,90,0,0,0,5,0,0,0,2,1,0,0,0,9,0,1,0.0
Mario Lemina,5,ga GAB,"CM,CB",31-027,90,0,0,0,2,1,1,3,3,2,0,0,0,4,3,1,75.0
Matheus Cunha,10,br BRA,"RM,LM",25-124,90,0,0,0,1,1,0,3,0,2,0,0,0,3,0,0,
André,7,br BRA,DM,23-074,90,1,0,0,1,1,0,0,1,1,0,0,0,5,0,0,
Rayan Aït-Nouri,3,dz ALG,LB,23-114,90,0,0,0,0,2,0,2,2,0,0,0,0,7,1,0,100.0
Toti Gomes,24,pt POR,CB,25-256,90,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0.0
Santiago Bueno,4,uy URU,CB,25-324,76,0,0,0,1,0,0,0,1,2,0,0,0,1,2,1,66.7
Tommy Doyle,20,eng ENG,CM,22-347,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Nélson Semedo,22,pt POR,RB,30-317,90,0,0,0,3,2,0,2,0,1,0,1,0,3,0,2,0.0
Sam Johnstone,31,eng ENG,GK,31-187,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
