Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Darwin Núñez,9,uy URU,FW,25-153,89,0,0,0,1,1,0,0,0,1,0,0,0,6,0,3,0.0
Wataru Endo,3,jp JPN,DM,31-289,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
Cody Gakpo,18,nl NED,LW,25-201,61,1,0,0,1,1,0,8,1,0,0,0,0,3,0,0,
Luis Díaz,7,co COL,LW,27-316,29,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100.0
Mohamed Salah,11,eg EGY,RW,32-162,90,1,0,0,1,2,1,1,1,0,0,0,0,1,0,0,
Dominik Szoboszlai,8,hu HUN,"AM,FW",24-030,90,0,0,0,2,0,0,8,1,4,0,0,0,5,0,0,
Curtis Jones,17,eng ENG,DM,23-299,61,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Alexis Mac Allister,10,ar ARG,"DM,AM",25-336,29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.0
Ryan Gravenberch,38,nl NED,DM,22-192,90,0,0,0,0,2,0,1,2,1,0,0,0,5,0,0,
Andrew Robertson,26,sct SCO,LB,30-258,90,0,0,0,1,0,0,11,0,1,0,1,0,3,0,0,
Virgil van Dijk,4,nl NED,CB,33-139,90,0,0,0,0,1,0,0,2,0,0,0,0,3,2,0,100.0
Ibrahima Konaté,5,fr FRA,CB,25-183,90,1,0,0,1,0,0,0,0,1,0,0,0,5,0,0,
Conor Bradley,84,nir NIR,RB,21-138,90,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,
Caoimhín Kelleher,62,ie IRL,GK,26-001,90,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
