Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,25-036,90,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Harvey Barnes,11,eng ENG,LW,26-323,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joe Willock,28,eng ENG,LW,25-068,23,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Miguel Almirón,24,py PAR,RW,30-260,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jacob Murphy,23,eng ENG,RW,29-246,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joelinton,7,br BRA,LM,28-074,88,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0
William Osula,18,dk DEN,LM,21-084,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bruno Guimarães,39,br BRA,CM,26-346,90,1,1,0,1,0,0,1,0.0,1,3,1,2,1,2,0,1
Sandro Tonali,8,it ITA,RM,24-172,67,2,1,0,2,0,1,1,100.0,0,1,1,0,0,2,1,0
Sean Longstaff,36,eng ENG,RM,26-363,23,3,2,0,1,2,1,1,100.0,0,1,0,1,0,3,0,0
Lewis Hall,20,eng ENG,LB,20-049,88,2,2,1,1,0,1,2,50.0,1,2,1,1,1,3,1,0
Lloyd Kelly,25,eng ENG,LB,26-021,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dan Burn,33,eng ENG,CB,32-171,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Fabian Schär,5,ch SUI,CB,32-312,90,1,1,0,1,0,1,3,33.3,2,1,0,1,1,2,2,0
Valentino Livramento,21,eng ENG,RB,21-350,90,1,1,1,0,0,0,2,0.0,2,1,1,0,1,2,2,0
Nick Pope,22,eng ENG,GK,32-191,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
