Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Joshua Zirkzee,11,nl NED,FW,23-122,60,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Marcus Rashford,10,eng ENG,"LW,FW",26-326,30,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Alejandro Garnacho,17,ar ARG,"LW,RW",20-082,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Amad Diallo,16,ci CIV,RW,22-072,75,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0
Rasmus Højlund,9,dk DEN,FW,21-230,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bruno Fernandes,8,pt POR,AM,30-013,90,4,3,0,3,1,2,2,100.0,0,0,0,0,1,5,1,0
Christian Eriksen,14,dk DEN,DM,32-220,75,1,0,0,0,1,1,2,50.0,1,0,0,0,1,2,0,0
Manuel Ugarte Ribeiro,25,uy URU,DM,23-163,15,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
Kobbie Mainoo,37,eng ENG,DM,19-155,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Diogo Dalot,20,pt POR,LB,25-187,90,2,1,1,1,0,0,1,0.0,1,1,0,1,1,3,2,0
Lisandro Martínez,6,ar ARG,CB,26-247,90,0,0,0,0,0,0,0,,0,2,2,0,1,1,0,0
Matthijs de Ligt,4,nl NED,CB,25-040,90,0,0,0,0,0,0,0,,0,1,0,1,2,2,2,0
Noussair Mazraoui,3,ma MAR,RB,26-312,90,3,2,0,1,2,2,4,50.0,2,2,0,2,1,4,5,0
André Onana,24,cm CMR,GK,28-172,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
