Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Erling Haaland,9,no NOR,FW,24-136,90,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0.0
Jeremy Doku,11,be BEL,LW,22-191,89,0,0,0,0,2,1,2,1,2,0,0,0,2,0,2,0.0
Sávio,26,br BRA,LW,20-238,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Bernardo Silva,20,pt POR,RW,30-116,90,1,0,0,1,1,0,3,1,1,0,0,0,10,0,0,
Kevin De Bruyne,17,be BEL,AM,33-159,73,0,0,0,1,1,0,8,1,0,0,0,0,4,0,0,
Rico Lewis,82,eng ENG,"DM,LB",20-013,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Jack Grealish,10,eng ENG,"DM,AM",29-085,89,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,
Matheus Nunes,27,pt POR,DM,26-099,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
İlkay Gündoğan,19,de GER,DM,34-041,90,1,0,0,1,2,0,1,2,2,0,0,0,9,1,0,100.0
Joško Gvardiol,24,hr CRO,"LB,CB",22-316,90,0,0,0,1,1,0,0,0,2,0,0,0,5,0,1,0.0
Nathan Aké,6,nl NED,CB,29-290,89,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,100.0
James Mcatee,87,eng ENG,"AM,CB",22-047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rúben Dias,3,pt POR,CB,27-204,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,100.0
Manuel Akanji,25,ch SUI,RB,29-138,45,0,0,0,1,0,0,0,0,2,0,0,0,3,2,0,100.0
Kyle Walker,2,eng ENG,RB,34-190,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Stefan Ortega,18,de GER,GK,32-028,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
