Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Chris Wood,11,nz NZL,FW,32-268,90,0,0,0,1,3,3,0,1,0,0,0,0,1,2,3,40.0
Callum Hudson-Odoi,14,eng ENG,LW,23-298,79,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1,0.0
Ramón Sosa,24,py PAR,LW,25-000,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Anthony Elanga,21,se SWE,RW,22-126,89,0,0,0,0,1,0,8,0,0,0,0,0,2,0,3,0.0
Jota Silva,20,pt POR,RW,25-030,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
Morgan Gibbs-White,10,eng ENG,AM,24-217,90,1,0,0,2,1,0,0,0,0,0,0,0,7,2,0,100.0
Elliot Anderson,8,eng ENG,DM,21-299,89,1,0,0,1,1,0,5,0,4,0,0,0,6,0,1,0.0
Taiwo Awoniyi,9,ng NGA,DM,27-019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0
Ibrahim Sangaré,6,ci CIV,DM,26-273,57,1,0,0,3,3,0,0,1,4,0,0,0,2,2,1,66.7
Ryan Yates,22,eng ENG,DM,26-284,33,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Ola Aina,34,ng NGA,LB,27-328,90,0,0,0,0,2,0,5,5,0,0,0,0,8,1,2,33.3
Murillo,5,br BRA,CB,22-058,90,0,0,0,1,0,0,0,0,1,0,0,0,4,2,0,100.0
Nikola Milenković,31,rs SRB,CB,26-324,90,0,0,0,3,0,0,0,1,1,0,0,0,6,2,2,50.0
Neco Williams,7,wls WAL,RB,23-140,90,0,0,0,2,2,0,1,0,1,0,0,0,3,2,1,66.7
Matz Sels,26,be BEL,GK,32-187,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
