Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Diogo Jota,20,pt POR,FW,27-321,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Darwin Núñez,9,uy URU,FW,25-118,61,1,0,0,3,4,2,0,0,3,0,0,0,3,2,3,40.0
Cody Gakpo,18,nl NED,LW,25-166,65,0,0,0,2,1,1,1,0,1,0,0,0,3,1,1,50.0
Luis Díaz,7,co COL,LW,27-281,25,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0.0
Mohamed Salah,11,eg EGY,RW,32-127,90,0,0,0,0,1,1,1,1,0,0,0,0,6,0,1,0.0
Dominik Szoboszlai,8,hu HUN,AM,23-361,90,1,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0
Curtis Jones,17,eng ENG,DM,23-264,80,0,0,0,0,2,0,0,1,2,1,0,0,6,0,1,0.0
Alexis Mac Allister,10,ar ARG,DM,25-301,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
Ryan Gravenberch,38,nl NED,DM,22-157,90,0,0,0,3,1,0,0,0,1,0,0,0,6,2,0,100.0
Andrew Robertson,26,sct SCO,LB,30-223,90,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,
Virgil van Dijk,4,nl NED,CB,33-104,90,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,100.0
Ibrahima Konaté,5,fr FRA,CB,25-148,90,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
Trent Alexander-Arnold,66,eng ENG,RB,26-013,80,0,0,0,0,1,0,1,1,4,0,0,0,2,0,1,0.0
Joe Gomez,2,eng ENG,RB,27-150,10,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,
Caoimhín Kelleher,62,ie IRL,GK,25-332,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
