Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Michail Antonio,9,jm JAM,FW,34-142,72,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Niclas Füllkrug,11,de GER,FW,31-190,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mohammed Kudus,14,gh GHA,"LM,WB,RM",24-015,90,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0
Lucas Paquetá,10,br BRA,CM,26-356,72,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,1,0
James Ward-Prowse,8,eng ENG,CM,29-290,18,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Tomáš Souček,28,cz CZE,CM,29-172,90,2,1,0,2,0,1,3,33.3,2,0,0,0,1,3,1,0
Jarrod Bowen,20,eng ENG,RM,27-241,72,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0
Crysencio Summerville,7,nl NED,"CM,LM",22-292,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Guido Rodríguez,24,ar ARG,DM,30-127,84,3,3,2,1,0,1,2,50.0,1,0,0,0,1,4,0,0
Danny Ings,18,eng ENG,FW,32-025,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Emerson Palmieri,33,it ITA,"LB,WB",30-014,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Max Kilman,26,eng ENG,CB,27-086,90,2,1,1,1,0,1,1,100.0,0,2,1,1,2,4,7,0
Konstantinos Mavropanos,15,gr GRE,CB,26-250,90,3,3,3,0,0,2,2,100.0,0,2,2,0,0,3,5,0
Vladimír Coufal,5,cz CZE,RB,31-361,84,0,0,0,0,0,0,1,0.0,1,2,2,0,2,2,4,0
Jean-Clair Todibo,25,fr FRA,CB,24-231,6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Alphonse Areola,23,fr FRA,GK,31-172,90,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0
