Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Raúl Jiménez,7,mx MEX,FW,33-258,70,1,0,0,0,1,0,0,,0,0,0,0,1,2,2,1
Rodrigo Muniz,9,br BRA,FW,23-259,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Alex Iwobi,17,ng NGA,LW,28-260,45,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
Adama Traoré,11,es ESP,"LW,RW,AM",28-359,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Harry Wilson,8,wls WAL,"RW,LW",27-302,89,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,0,0
Joshua King,24,eng ENG,AM,18-015,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Emile Smith Rowe,32,eng ENG,AM,24-174,79,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Tom Cairney,10,sct SCO,"AM,CM",33-364,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sander Berge,16,no NOR,"DM,CM",26-339,90,6,3,2,4,0,3,3,100.0,0,1,0,1,1,7,1,0
Saša Lukić,20,rs SRB,DM,28-158,89,2,1,0,1,1,0,6,0.0,6,1,0,1,0,2,3,0
Issa Diop,31,fr FRA,CB,28-009,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Antonee Robinson,33,us USA,"LB,WB",27-163,90,3,2,1,2,0,0,0,,0,3,0,3,3,6,4,0
Calvin Bassey,3,ng NGA,CB,25-018,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
Joachim Andersen,5,dk DEN,CB,28-232,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,6,0
Timothy Castagne,21,be BEL,"RB,WB",29-044,90,4,4,4,0,0,3,3,100.0,0,0,0,0,2,6,5,0
Bernd Leno,1,de GER,GK,32-320,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
