Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yoane Wissa,11,cd COD,FW,27-363,90,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
Kevin Schade,7,de GER,LW,22-278,74,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Sepp van den Berg,4,nl NED,RB,22-255,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bryan Mbeumo,19,cm CMR,"RW,LW",25-024,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0
Mikkel Damsgaard,24,dk DEN,LM,24-059,81,4,3,1,0,3,2,2,100.0,0,1,0,1,2,6,0,0
Fabio Carvalho,14,pt POR,LM,22-001,9,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Christian Nørgaard,6,dk DEN,CM,30-174,90,2,2,0,2,0,2,4,50.0,2,4,1,3,1,3,2,0
Mathias Jensen,8,dk DEN,RM,28-243,90,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,2,0
Vitaly Janelt,27,de GER,LB,26-113,74,1,1,1,0,0,0,0,,0,2,0,2,0,1,2,0
Keane Lewis-Potter,23,eng ENG,RW,23-191,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Ethan Pinnock,5,jm JAM,CB,31-094,90,2,2,1,0,1,0,0,,0,1,0,1,3,5,6,0
Nathan Collins,22,ie IRL,CB,23-123,90,2,1,2,0,0,1,1,100.0,0,4,3,1,2,4,5,0
Kristoffer Ajer,20,no NOR,RB,26-136,38,1,1,1,0,0,0,0,,0,0,0,0,1,2,2,0
Mads Roerslev,30,dk DEN,"RB,LB",25-068,52,1,0,1,0,0,0,2,0.0,2,2,0,2,1,2,1,0
Mark Flekken,1,nl NED,GK,31-079,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
