Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Marshall Munetsi,5,zw ZIM,"FW,AM",28-248,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Matheus Cunha,10,br BRA,AM,25-274,90,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0
João Gomes,8,br BRA,"AM,CM",24-013,90,2,1,0,2,0,2,3,66.7,1,0,0,0,1,3,0,0
Jean-Ricner Bellegarde,27,fr FRA,CM,26-243,64,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Jørgen Strand Larsen,9,no NOR,FW,25-019,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André,7,br BRA,CM,23-224,76,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0
Tommy Doyle,20,eng ENG,CM,23-131,14,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0
Rayan Aït-Nouri,3,dz ALG,WB,23-264,90,5,3,2,2,1,3,4,75.0,1,1,0,1,2,7,0,0
Nélson Semedo,22,pt POR,"WB,CB",31-101,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Toti Gomes,24,pt POR,CB,26-040,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
Santiago Bueno,4,uy URU,CB,26-108,76,1,0,0,1,0,0,0,,0,1,1,0,0,1,2,0
Pablo Sarabia,21,es ESP,WB,32-290,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matt Doherty,2,ie IRL,CB,33-040,90,1,1,1,0,0,0,0,,0,1,1,0,0,1,1,0
José Sá,1,pt POR,GK,32-039,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
