Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jamie Vardy,9,eng ENG,FW,38-091,60,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Patson Daka,20,zm ZAM,FW,26-185,30,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Stephy Mavididi,10,eng ENG,LW,26-316,89,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0
Bobby De Cordova-Reid,14,jm JAM,LW,32-069,1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Kasey McAteer,35,ie IRL,RW,23-141,89,0,0,0,0,0,0,4,0.0,4,2,0,2,1,1,1,0
Jake Evans,91,,RW,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bilal El Khannouss,11,ma MAR,AM,20-337,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Boubakary Soumaré,24,fr FRA,DM,26-044,90,2,2,1,1,0,2,3,66.7,1,1,0,1,1,3,2,0
Wilfred Ndidi,6,ng NGA,DM,28-117,60,2,1,1,1,0,2,3,66.7,1,4,0,4,1,3,2,0
Oliver Skipp,22,eng ENG,DM,24-208,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Luke Thomas,33,eng ENG,LB,23-306,60,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0
Ricardo Pereira,21,pt POR,RB,31-188,30,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Conor Coady,4,eng ENG,CB,32-046,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,3,0
Caleb Okoli,5,it ITA,CB,23-273,90,1,1,0,1,0,1,1,100.0,0,2,2,0,1,2,6,1
James Justin,2,eng ENG,"RB,LB",27-048,90,3,2,1,1,1,2,3,66.7,1,0,0,0,0,3,6,0
Mads Hermansen,30,dk DEN,GK,24-275,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
