Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Cameron Archer,19,eng ENG,FW,23-259,72,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0
Paul Onuachu,32,ng NGA,FW,30-313,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Kamaldeen Sulemana,20,gh GHA,"LW,LM",23-050,90,1,1,1,0,0,0,2,0.0,2,1,0,1,0,1,1,0
Tyler Dibling,33,eng ENG,RW,19-025,72,4,2,3,1,0,3,4,75.0,1,0,0,0,0,4,0,1
Yukinari Sugawara,16,jp JPN,"RM,RW",24-282,18,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Mateus Fernandes,18,pt POR,"AM,CM",20-270,90,6,2,1,2,3,3,4,75.0,1,1,0,1,1,7,2,0
Joe Aribo,7,ng NGA,DM,28-259,63,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
William Smallbone,8,ie IRL,"DM,CM",25-044,27,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0
Lesley Ugochukwu,26,fr FRA,DM,21-011,82,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Ross Stewart,11,sct SCO,FW,28-269,8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Ryan Manning,3,ie IRL,LB,28-296,63,2,0,2,0,0,1,2,50.0,1,1,1,0,2,4,2,0
Welington,34,br BRA,LB,24-046,27,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Taylor Harwood-Bellis,6,eng ENG,CB,23-066,90,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,2,0
Jan Bednarek,35,pl POL,CB,28-359,90,3,2,1,2,0,1,2,50.0,1,2,2,0,2,5,8,0
Kyle Walker-Peters,2,eng ENG,RB,27-358,90,5,4,2,2,1,2,2,100.0,0,0,0,0,1,6,4,0
Aaron Ramsdale,30,eng ENG,GK,26-327,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
