Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Taiwo Awoniyi,9,ng NGA,FW,27-232,85,0,0,0,0,2,0,1,0,1,0,0,0,1,2,6,25.0
Ibrahim Sangaré,6,ci CIV,CM,27-120,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Danilo,28,br BRA,LW,23-337,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Morato,4,br BRA,CB,23-275,51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,25.0
Anthony Elanga,21,se SWE,RW,22-339,85,0,0,0,0,2,0,3,0,0,0,0,0,7,1,0,100.0
Ramón Sosa,24,py PAR,"FW,RW",25-213,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Morgan Gibbs-White,10,eng ENG,"AM,LW",25-064,90,0,0,0,0,1,0,1,2,0,0,0,0,5,1,1,50.0
Elliot Anderson,8,eng ENG,"DM,CM",22-146,65,0,0,0,1,1,0,0,0,1,0,0,0,10,1,0,100.0
Nicolás Domínguez,16,ar ARG,"CM,AM",26-277,25,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
Ryan Yates,22,eng ENG,"CM,DM",27-131,90,0,0,0,2,4,1,0,2,0,0,0,0,6,2,1,66.7
Neco Williams,7,wls WAL,"RM,LB,WB",23-353,90,1,0,0,1,0,0,4,0,2,0,0,0,1,1,4,20.0
Murillo,5,br BRA,CB,22-271,90,0,0,0,1,0,0,1,0,2,0,0,0,5,1,0,100.0
Nikola Milenković,31,rs SRB,CB,27-171,90,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,100.0
Ola Aina,34,ng NGA,RB,28-175,38,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0
Álex Moreno,19,es ESP,"LM,WB",31-297,52,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0.0
Matz Sels,26,be BEL,GK,33-034,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0
