Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
João Pedro,9,br BRA,FW,23-064,71,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,100.0
Simon Adingra,11,ci CIV,"FW,RM",22-333,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Danny Welbeck,18,eng ENG,FW,34-003,78,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,
Evan Ferguson,28,ie IRL,FW,20-041,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Kaoru Mitoma,22,jp JPN,LM,27-193,90,0,0,0,5,4,0,2,0,1,0,0,0,4,1,0,100.0
Yasin Ayari,26,se SWE,CM,21-054,90,0,0,0,6,2,1,4,2,1,0,0,0,6,0,2,0.0
Matt O'Riley,33,dk DEN,CM,24-008,71,1,0,0,1,1,0,3,0,1,0,0,0,3,0,0,
Mats Wieffer,27,nl NED,CM,25-013,19,1,0,0,3,0,0,0,0,0,0,0,0,2,3,1,75.0
Georginio Rutter,14,fr FRA,"RM,FW",22-223,87,0,0,0,1,4,0,0,0,1,0,0,0,2,1,3,25.0
Yankuba Minteh,17,gm GAM,RM,20-130,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0.0
Pervis Estupiñán,30,ec ECU,LB,26-313,90,0,0,0,0,0,1,15,0,1,0,0,0,3,3,0,100.0
Igor,3,br BRA,CB,26-296,90,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,
Jan Paul van Hecke,29,nl NED,"CB,RB",24-174,90,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0.0
Tariq Lamptey,2,gh GHA,RB,24-060,71,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,
Lewis Dunk,5,eng ENG,CB,33-008,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Bart Verbruggen,1,nl NED,GK,22-103,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
