Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dango Ouattara,11,bf BFA,"FW,LW,LM",23-011,88,0,0,0,0,1,0,2,0,0,0,0,0,6,1,2,33.3
Daniel Jebbison,21,eng ENG,LW,21-193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Antoine Semenyo,24,gh GHA,"LW,FW,CM,DM,LM",25-046,90,0,0,0,0,0,1,1,0,2,0,0,0,5,0,3,0.0
Marcus Tavernier,16,eng ENG,"RW,RB,RM,CM",25-337,90,0,0,0,4,2,0,6,1,0,0,0,0,8,2,0,100.0
Justin Kluivert,19,nl NED,"FW,AM,RM",25-293,72,0,0,0,2,0,0,4,1,0,0,0,0,2,0,0,
Alex Scott,8,eng ENG,DM,21-185,18,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,100.0
Ryan Christie,10,sct SCO,"DM,CM",30-000,59,0,0,0,0,1,0,1,0,1,0,0,0,1,1,2,33.3
Tyler Adams,12,us USA,DM,26-008,31,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0.0
Lewis Cook,4,eng ENG,"CB,DM,RB",28-019,90,0,0,0,0,1,0,2,4,0,0,0,0,12,2,1,66.7
Milos Kerkez,3,hu HUN,LB,21-107,90,1,0,0,2,2,0,6,3,1,0,0,0,4,1,2,33.3
Dean Huijsen,2,es ESP,CB,19-314,90,0,0,0,3,0,0,0,2,0,0,0,0,3,3,2,60.0
Illia Zabarnyi,27,ua UKR,CB,22-174,30,0,1,0,1,0,0,0,0,0,0,0,0,4,2,1,66.7
James Hill,23,eng ENG,"RB,CB",23-043,59,0,0,0,1,0,0,2,0,0,0,0,0,3,3,0,100.0
David Brooks,7,wls WAL,"RW,RB",27-229,31,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,
Kepa Arrizabalaga,13,es ESP,GK,30-142,90,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
