Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Beto,14,gw GNB,FW,26-305,66,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Dominic Calvert-Lewin,9,eng ENG,FW,27-260,24,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Iliman Ndiaye,10,sn SEN,LW,24-270,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Jesper Lindstrøm,29,dk DEN,RW,24-276,66,1,1,0,1,0,1,4,25.0,3,1,1,0,0,1,0,0
Jack Harrison,11,eng ENG,RW,28-011,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dwight McNeil,7,eng ENG,AM,25-009,90,2,2,0,0,2,2,3,66.7,1,2,0,2,0,2,0,1
Idrissa Gana Gueye,27,sn SEN,DM,35-066,66,3,1,2,1,0,1,2,50.0,1,4,0,4,1,4,0,0
Orel Mangala,8,be BEL,DM,26-258,24,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Abdoulaye Doucouré,16,ml MLI,DM,31-335,90,1,0,0,0,1,1,2,50.0,1,2,0,2,1,2,0,0
Vitaliy Mykolenko,19,ua UKR,LB,25-186,90,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0
Jarrad Branthwaite,32,eng ENG,CB,22-157,90,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,1
James Tarkowski,6,eng ENG,CB,32-012,81,4,3,1,3,0,2,2,100.0,0,2,2,0,1,5,3,1
Jake O'Brien,15,ie IRL,CB,23-200,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ashley Young,18,eng ENG,RB,39-145,72,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,2,0
Nathan Patterson,2,sct SCO,RB,23-046,18,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Jordan Pickford,1,eng ENG,GK,30-269,90,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
