Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Liam Delap,19,eng ENG,FW,21-290,80,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Ali Al Hamadi,16,iq IRQ,FW,22-268,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sammie Szmodics,23,ie IRL,LW,29-061,64,2,1,0,2,0,1,1,100.0,0,1,0,1,0,2,0,0
Jack Clarke,47,eng ENG,LW,24-001,26,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0
Wes Burns,7,wls WAL,RW,30-001,80,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Conor Chaplin,10,eng ENG,RW,27-282,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Omari Hutchinson,20,eng ENG,AM,21-025,90,4,0,1,2,1,2,2,100.0,0,2,0,2,0,4,1,0
Jens Cajuste,12,se SWE,DM,25-106,64,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Jack Taylor,14,ie IRL,DM,26-154,26,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Sam Morsy,5,eg EGY,DM,33-075,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0
Leif Davis,3,eng ENG,LB,24-317,90,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0
Cameron Burgess,15,au AUS,CB,29-034,90,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,3,0
Dara O'Shea,26,ie IRL,CB,25-265,90,4,3,2,1,1,2,2,100.0,0,1,1,0,2,6,5,0
Axel Tuanzebe,40,cd COD,RB,27-010,90,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0
Arijanet Muric,1,xk KVX,GK,26-017,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
