Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Beto,14,gw GNB,FW,27-001,87,2,1,0,0,2,0,0,,0,2,1,1,0,2,1,0
Jack Harrison,11,eng ENG,LW,28-073,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Iliman Ndiaye,10,sn SEN,"LW,FW",24-332,90,2,1,1,0,1,0,2,0.0,2,0,0,0,1,3,1,0
Jesper Lindstrøm,29,dk DEN,RW,24-338,74,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Ashley Young,18,eng ENG,"RW,LB",39-207,16,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Abdoulaye Doucouré,16,ml MLI,AM,32-031,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Idrissa Gana Gueye,27,sn SEN,DM,35-128,90,2,1,1,0,1,1,1,100.0,0,2,1,1,0,2,0,0
James Garner,37,eng ENG,DM,23-325,81,2,1,1,1,0,2,2,100.0,0,1,0,1,1,3,3,0
Tim Iroegbunam,42,eng ENG,DM,21-216,9,1,1,0,1,0,1,2,50.0,1,1,1,0,1,2,1,0
Vitaliy Mykolenko,19,ua UKR,LB,25-248,87,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0
Nathan Patterson,2,sct SCO,RW,23-108,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jarrad Branthwaite,32,eng ENG,CB,22-219,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,9,0
James Tarkowski,6,eng ENG,CB,32-074,90,1,1,1,0,0,1,1,100.0,0,2,2,0,1,2,10,1
Jake O'Brien,15,ie IRL,RB,23-262,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Jordan Pickford,1,eng ENG,GK,30-331,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
