Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Antoine Semenyo,24,gh GHA,"LW,RW,FW",24-223,90,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0
Luis Sinisterra,17,co COL,"FW,LW",25-061,62,1,0,0,0,1,0,2,0.0,2,1,0,1,0,1,1,0
Justin Kluivert,19,nl NED,"LW,FW",25-104,28,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Dango Ouattara,11,bf BFA,RW,22-188,68,3,3,0,3,0,2,3,66.7,1,1,0,1,0,3,3,0
Daniel Jebbison,21,eng ENG,FW,21-004,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Marcus Tavernier,16,eng ENG,"AM,DM",25-148,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Lewis Cook,4,eng ENG,DM,27-196,83,1,0,1,0,0,0,2,0.0,2,2,1,1,2,3,1,0
Philip Billing,29,dk DEN,AM,28-067,7,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Alex Scott,14,eng ENG,DM,20-362,62,8,4,4,2,2,6,7,85.7,1,3,0,3,3,11,2,0
Ryan Christie,10,sct SCO,DM,29-177,28,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Milos Kerkez,3,hu HUN,LB,20-284,90,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0
Dean Huijsen,2,es ESP,CB,19-125,90,0,0,0,0,0,0,0,,0,2,1,1,2,2,6,0
Illia Zabarnyi,27,ua UKR,CB,21-351,90,0,0,0,0,0,0,0,,0,2,0,2,2,2,6,0
Adam Smith,15,eng ENG,RB,33-110,62,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,2,0
Julian Araujo,28,mx MEX,RB,23-004,28,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Neto,1,br BRA,GK,35-029,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
