Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yoane Wissa,11,cd COD,FW,28-165,89,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0
Fabio Carvalho,14,pt POR,FW,22-169,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin Schade,7,de GER,LW,23-080,74,2,1,0,1,1,0,1,0.0,1,0,0,0,1,3,1,0
Mathias Jensen,8,dk DEN,"LW,CM",29-045,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bryan Mbeumo,19,cm CMR,"RW,FW",25-192,90,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Mikkel Damsgaard,24,dk DEN,AM,24-227,89,2,1,1,1,0,1,4,25.0,3,3,1,2,0,2,0,0
Michael Kayode,33,it ITA,"RB,AM",20-220,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Vitaly Janelt,27,de GER,DM,26-281,74,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,2,0
Yehor Yarmoliuk,18,ua UKR,"DM,CM",20-351,16,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0
Christian Nørgaard,6,dk DEN,"DM,CM",30-342,90,2,0,1,1,0,1,1,100.0,0,2,1,1,1,3,2,0
Keane Lewis-Potter,23,eng ENG,LB,23-359,90,2,2,1,1,0,1,2,50.0,1,1,0,1,1,3,2,0
Sepp van den Berg,4,nl NED,CB,23-057,59,0,0,0,0,0,0,0,,0,2,2,0,0,0,9,0
Ethan Pinnock,5,jm JAM,CB,31-262,31,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,2,0
Nathan Collins,22,ie IRL,CB,23-291,90,2,0,1,0,1,1,1,100.0,0,2,2,0,0,2,8,0
Kristoffer Ajer,20,no NOR,"RB,CB",26-304,90,4,2,1,2,1,2,3,66.7,1,1,0,1,1,5,2,0
Mark Flekken,1,nl NED,GK,31-247,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
