Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Calvert-Lewin,9,eng ENG,FW,27-285,69,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0
Armando Broja,22,al ALB,FW,23-107,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Iliman Ndiaye,10,sn SEN,LW,24-295,80,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,2,0
Jesper Lindstrøm,29,dk DEN,LW,24-301,10,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Jack Harrison,11,eng ENG,RW,28-036,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Abdoulaye Doucouré,16,ml MLI,LM,31-360,90,2,2,1,1,0,0,2,0.0,2,0,0,0,0,2,0,0
Idrissa Gana Gueye,27,sn SEN,CM,35-091,90,4,3,3,1,0,1,1,100.0,0,3,1,2,0,4,2,0
Orel Mangala,8,be BEL,RM,26-283,90,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,1,0
Vitaliy Mykolenko,19,ua UKR,LB,25-211,90,2,2,1,1,0,2,5,40.0,3,2,2,0,1,3,5,0
Jarrad Branthwaite,32,eng ENG,CB,22-182,90,2,1,2,0,0,1,1,100.0,0,1,1,0,0,2,7,0
James Tarkowski,6,eng ENG,CB,32-037,90,3,3,2,1,0,1,1,100.0,0,3,3,0,2,5,10,0
Séamus Coleman,23,ie IRL,RB,36-076,89,1,1,1,0,0,1,1,100.0,0,3,2,1,1,2,5,0
Nathan Patterson,2,sct SCO,RB,23-071,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jordan Pickford,1,eng ENG,GK,30-294,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
