Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Darwin Núñez,9,uy URU,FW,25-163,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Cody Gakpo,18,nl NED,LW,25-211,66,2,2,0,1,1,1,2,50.0,1,2,0,2,0,2,1,0
Luis Díaz,7,co COL,LW,27-326,24,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mohamed Salah,11,eg EGY,RW,32-172,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Curtis Jones,17,eng ENG,"AM,DM",23-309,90,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
Alexis Mac Allister,10,ar ARG,DM,25-346,90,7,3,3,3,1,3,4,75.0,1,3,0,3,0,7,2,0
Ryan Gravenberch,38,nl NED,DM,22-202,66,0,0,0,0,0,0,1,0.0,1,1,1,0,4,4,0,0
Dominik Szoboszlai,8,hu HUN,AM,24-040,24,1,1,0,0,1,0,2,0.0,2,1,0,1,0,1,0,0
Andrew Robertson,26,sct SCO,LB,30-268,90,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,4,0
Virgil van Dijk,4,nl NED,CB,33-149,90,2,1,0,2,0,0,1,0.0,1,0,0,0,3,5,6,0
Joe Gomez,2,eng ENG,CB,27-195,66,0,0,0,0,0,0,2,0.0,2,2,2,0,1,1,5,2
Trent Alexander-Arnold,66,eng ENG,RB,26-058,24,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,0,0
Jarell Quansah,78,eng ENG,"RB,CB",21-310,90,5,4,4,1,0,4,4,100.0,0,1,1,0,1,6,5,0
Caoimhín Kelleher,62,ie IRL,GK,26-011,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
