Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Danny Ings,18,eng ENG,FW,32-133,45,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Crysencio Summerville,7,nl NED,"LM,LW",23-034,45,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0.0
Mohammed Kudus,14,gh GHA,"LW,RW,RM",24-123,78,0,0,0,0,2,1,5,0,1,0,0,0,2,0,1,0.0
Niclas Füllkrug,11,de GER,FW,31-298,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0
Jarrod Bowen,20,eng ENG,"RW,FW,RM",27-349,90,0,0,0,0,0,0,6,0,1,0,0,0,1,0,2,0.0
Tomáš Souček,28,cz CZE,AM,29-280,61,0,0,0,1,1,0,1,0,0,0,0,0,1,6,2,75.0
Michail Antonio,9,jm JAM,FW,34-250,29,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,100.0
Carlos Soler,4,es ESP,DM,27-336,61,0,0,0,0,1,0,3,0,1,0,0,0,8,1,2,33.3
Lucas Paquetá,10,br BRA,CM,27-098,29,0,0,0,0,0,0,1,1,1,0,0,0,7,1,1,50.0
Edson Álvarez,19,mx MEX,DM,27-040,90,1,0,0,1,0,0,1,1,1,0,0,0,4,4,3,57.1
Aaron Wan-Bissaka,29,eng ENG,"LB,RB",27-007,90,0,0,0,1,2,0,2,2,1,0,0,0,10,2,1,66.7
Max Kilman,26,eng ENG,CB,27-194,90,0,0,0,1,0,0,0,3,0,0,0,0,11,9,2,81.8
Konstantinos Mavropanos,15,gr GRE,CB,26-358,90,0,0,0,1,1,0,0,1,1,0,0,0,5,3,1,75.0
Vladimír Coufal,5,cz CZE,RB,32-103,61,1,0,0,2,1,0,3,0,1,0,0,0,2,1,2,33.3
Emerson Palmieri,33,it ITA,LB,30-122,29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Łukasz Fabiański,1,pl POL,GK,39-229,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
