Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Rodrigo Muniz,9,br BRA,FW,23-232,61,0,0,0,1,4,0,0,1,1,0,0,0,0,3,3,50.0
Raúl Jiménez,7,mx MEX,FW,33-231,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Alex Iwobi,17,ng NGA,"LW,DM",28-233,90,0,0,0,2,1,0,3,0,1,0,0,0,1,0,0,
Harry Wilson,8,wls WAL,"RW,AM",27-275,86,0,0,0,2,3,0,6,0,0,0,0,0,5,1,5,16.7
Carlos Vinícius,12,br BRA,AM,29-272,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joshua King,24,eng ENG,AM,17-354,61,0,0,0,1,2,0,1,0,2,0,0,0,3,0,0,
Adama Traoré,11,es ESP,RW,28-332,29,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,
Tom Cairney,10,sct SCO,DM,33-337,74,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0.0
Martial Godo,47,eng ENG,LW,21-283,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0
Sander Berge,16,no NOR,DM,26-312,74,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,66.7
Saša Lukić,20,rs SRB,DM,28-131,16,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,50.0
Antonee Robinson,33,us USA,LB,27-136,90,0,0,0,0,2,1,9,4,0,0,0,0,3,1,0,100.0
Calvin Bassey,3,ng NGA,CB,24-357,90,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,100.0
Issa Diop,31,fr FRA,CB,27-348,90,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,100.0
Timothy Castagne,21,be BEL,RB,29-017,90,0,0,0,0,0,0,2,1,1,0,0,0,6,4,3,57.1
Bernd Leno,1,de GER,GK,32-293,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
