Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Evanilson,9,br BRA,FW,24-324,71,0,0,0,2,2,0,0,0,1,0,0,0,1,1,2,33.3
Luis Sinisterra,17,co COL,"FW,AM",25-069,19,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Marcus Tavernier,16,eng ENG,"LW,AM",25-156,84,0,0,0,2,1,0,4,0,3,0,0,0,5,2,1,66.7
Daniel Jebbison,21,ca CAN,FW,21-012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Antoine Semenyo,24,gh GHA,RW,24-231,90,0,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0.0
Justin Kluivert,19,nl NED,AM,25-112,71,0,0,0,5,0,0,3,1,0,0,0,0,5,0,0,
Dango Ouattara,11,bf BFA,LW,22-196,19,0,0,0,1,1,0,2,1,1,0,0,0,1,2,0,100.0
Ryan Christie,10,sct SCO,DM,29-185,63,1,0,0,1,1,0,0,0,0,0,0,0,9,0,1,0.0
Alex Scott,14,eng ENG,DM,21-004,27,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,100.0
Lewis Cook,4,eng ENG,DM,27-204,90,0,0,0,5,0,0,7,1,4,0,0,0,4,1,0,100.0
Milos Kerkez,3,hu HUN,LB,20-292,90,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,
Marcos Senesi,5,ar ARG,CB,27-107,90,1,0,0,1,0,0,1,1,3,0,0,0,8,1,1,50.0
Illia Zabarnyi,27,ua UKR,CB,21-359,90,0,0,0,0,0,0,0,1,0,0,0,0,9,3,2,60.0
Julian Araujo,28,mx MEX,RB,23-012,85,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,100.0
Adam Smith,15,eng ENG,RB,33-118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neto,1,br BRA,GK,35-037,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
