Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Hwang Hee-chan,11,kr KOR,"FW,AM",28-338,77,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0
Carlos Forbs,26,pt POR,AM,20-285,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matheus Cunha,10,br BRA,AM,25-216,45,2,1,2,0,0,0,0,,0,0,0,0,1,3,0,0
Jørgen Strand Larsen,9,no NOR,FW,24-327,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-185,45,2,2,1,1,0,1,1,100.0,0,4,1,3,0,2,0,1
Gonçalo Guedes,29,pt POR,AM,28-030,45,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
João Gomes,8,br BRA,CM,23-321,90,5,3,0,5,0,4,5,80.0,1,5,0,5,0,5,1,0
André,7,br BRA,CM,23-166,68,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,1,0
Tommy Doyle,20,eng ENG,CM,23-073,22,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,1
Rayan Aït-Nouri,3,dz ALG,WB,23-206,90,3,2,2,1,0,2,2,100.0,0,3,0,3,0,3,0,0
Nélson Semedo,22,pt POR,"WB,CB",31-043,90,1,1,0,0,1,0,0,,0,1,0,1,0,1,3,0
Craig Dawson,15,eng ENG,CB,34-237,77,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,4,0
Rodrigo Gomes,19,pt POR,WB,21-175,13,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Santiago Bueno,4,uy URU,CB,26-050,90,2,1,1,1,0,1,1,100.0,0,2,1,1,2,4,4,0
Matt Doherty,2,ie IRL,CB,32-348,90,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,2,0
José Sá,1,pt POR,GK,31-347,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
