Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dominic Solanke,19,eng ENG,FW,27-022,90,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,50.0
Timo Werner,16,de GER,LW,28-214,78,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0.0
Pape Matar Sarr,29,sn SEN,RM,22-022,12,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,100.0
Brennan Johnson,22,wls WAL,RW,23-136,90,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0.0
James Maddison,10,eng ENG,LM,27-318,84,0,0,0,1,2,0,3,0,1,0,0,0,3,0,0,
Mikey Moore,47,eng ENG,LW,17-056,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Rodrigo Bentancur,30,uy URU,CM,27-103,78,0,0,0,2,1,0,0,2,1,0,0,0,7,1,1,50.0
Yves Bissouma,8,ml MLI,CM,28-037,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Dejan Kulusevski,21,se SWE,"RM,LM,LW",24-164,90,1,0,0,2,2,0,4,0,1,0,0,0,4,0,0,
Destiny Udogie,13,it ITA,LB,21-313,90,1,0,0,1,2,0,0,1,3,0,0,0,4,0,0,
Micky van de Ven,37,nl NED,CB,23-170,90,0,0,0,1,1,0,0,1,0,0,0,0,5,1,0,100.0
Cristian Romero,17,ar ARG,CB,26-162,90,0,0,0,0,0,0,0,1,2,0,0,0,3,3,2,60.0
Pedro Porro,23,es ESP,RB,25-023,90,0,0,0,0,1,1,5,1,3,0,0,0,5,0,1,0.0
Guglielmo Vicario,1,it ITA,GK,27-365,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
