Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dominic Calvert-Lewin,9,eng ENG,FW,27-168,87,0,0,0,1,0,1,1,0,1,0,0,0,2,8,5,61.5
Beto,14,gw GNB,FW,26-213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.0
Iliman Ndiaye,10,sn SEN,LW,24-178,82,0,0,0,0,1,1,1,1,3,0,0,0,12,0,0,
Abdoulaye Doucouré,16,ml MLI,AM,31-243,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jack Harrison,11,eng ENG,RW,27-285,90,0,0,0,0,2,0,4,2,1,0,0,0,9,1,1,50.0
Dwight McNeil,7,eng ENG,"AM,LW",24-283,90,0,0,0,0,2,0,12,0,0,0,0,0,3,0,4,0.0
Idrissa Gana Gueye,27,sn SEN,DM,34-340,90,0,0,0,2,0,0,0,3,2,0,0,0,6,2,0,100.0
Tim Iroegbunam,42,eng ENG,DM,21-062,90,1,0,0,2,3,0,0,3,1,0,0,0,8,1,0,100.0
Vitaliy Mykolenko,19,ua UKR,LB,25-094,90,0,0,0,1,3,0,2,1,0,0,0,0,1,3,0,100.0
Michael Keane,5,eng ENG,CB,31-233,90,1,0,0,0,0,0,0,1,0,0,0,0,2,3,3,50.0
James Tarkowski,6,eng ENG,CB,31-286,90,0,0,0,0,0,0,0,1,3,0,0,0,6,0,1,0.0
Séamus Coleman,23,ie IRL,RB,35-325,90,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,50.0
Jordan Pickford,1,eng ENG,GK,30-177,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
