Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jamie Vardy,9,eng ENG,FW,37-247,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Stephy Mavididi,10,eng ENG,LW,26-106,71,1,0,0,1,0,0,0,,0,5,0,5,0,1,0,0
Abdul Fatawu Issahaku,7,gh GHA,"FW,LW",20-190,19,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Jordan Ayew,18,gh GHA,RW,33-003,82,2,1,1,1,0,0,0,,0,1,0,1,1,3,1,0
Conor Coady,4,eng ENG,CB,31-202,8,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0
Wilfred Ndidi,6,ng NGA,AM,27-273,75,3,1,0,2,1,1,2,50.0,1,2,0,2,1,4,0,0
Hamza Choudhury,17,bd BAN,"CM,AM",26-349,15,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Oliver Skipp,22,eng ENG,"DM,CM",23-364,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0
Harry Winks,8,eng ENG,"DM,CM",28-225,90,3,1,1,1,1,1,1,100.0,0,1,0,1,1,4,1,0
Victor Bernth Kristiansen,16,dk DEN,LB,21-273,90,2,0,2,0,0,0,0,,0,3,1,2,0,2,3,0
Caleb Okoli,5,it ITA,CB,23-063,90,3,1,3,0,0,1,1,100.0,0,5,2,3,1,4,5,0
Wout Faes,3,be BEL,CB,26-164,90,0,0,0,0,0,0,2,0.0,2,6,6,0,1,1,3,0
James Justin,2,eng ENG,RB,26-204,90,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,2,0
Mads Hermansen,30,dk DEN,GK,24-065,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
